trial_id,lr,weight_decay,hidden_dim,dropout,visibility_threshold,label_smoothing,xy_noise_std,joint_dropout,grad_clip_norm,command,status,returncode,best_val_acc,test_loss,test_acc,log_path,sampled_from_full_index
21,0.0003,0.005,768,0.4,0.1,0.1,0.01,0.0,1.0,/Users/hanyiliu/anaconda3/bin/python /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/train/pose_train_predicted.py --feature_path /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/saved_models/stage3_predicted_keypoints.pt --epochs 50 --batch_size 64 --train_split 0.7 --val_split 0.15 --test_split 0.15 --seed 42 --early_stop_patience 12 --lr 0.0003 --weight_decay 0.005 --hidden_dim 768 --dropout 0.4 --visibility_threshold 0.1 --label_smoothing 0.1 --xy_noise_std 0.01 --joint_dropout 0.0 --grad_clip_norm 1.0,ok,0,0.8466666666666667,39.3161,0.7633,/Users/hanyiliu/Documents/GitHub/tennis-pose-detection/training_outputs/pose_grid_search_logs_20260310_024913/trial_021.log,48625
22,0.0003,0.005,768,0.4,0.2,0.1,0.005,0.0,2.0,/Users/hanyiliu/anaconda3/bin/python /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/train/pose_train_predicted.py --feature_path /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/saved_models/stage3_predicted_keypoints.pt --epochs 50 --batch_size 64 --train_split 0.7 --val_split 0.15 --test_split 0.15 --seed 42 --early_stop_patience 12 --lr 0.0003 --weight_decay 0.005 --hidden_dim 768 --dropout 0.4 --visibility_threshold 0.2 --label_smoothing 0.1 --xy_noise_std 0.005 --joint_dropout 0.0 --grad_clip_norm 2.0,ok,0,0.8466666666666667,12.8301,0.7567,/Users/hanyiliu/Documents/GitHub/tennis-pose-detection/training_outputs/pose_grid_search_logs_20260310_024913/trial_022.log,49123
23,0.0003,0.001,256,0.2,0.15,0.0,0.003,0.0,2.0,/Users/hanyiliu/anaconda3/bin/python /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/train/pose_train_predicted.py --feature_path /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/saved_models/stage3_predicted_keypoints.pt --epochs 50 --batch_size 64 --train_split 0.7 --val_split 0.15 --test_split 0.15 --seed 42 --early_stop_patience 12 --lr 0.0003 --weight_decay 0.001 --hidden_dim 256 --dropout 0.2 --visibility_threshold 0.15 --label_smoothing 0.0 --xy_noise_std 0.003 --joint_dropout 0.0 --grad_clip_norm 2.0,ok,0,0.8066666666666666,0.6431,0.7467,/Users/hanyiliu/Documents/GitHub/tennis-pose-detection/training_outputs/pose_grid_search_logs_20260310_024913/trial_023.log,50707
24,0.0003,0.001,256,0.4,0.15,0.1,0.003,0.03,1.0,/Users/hanyiliu/anaconda3/bin/python /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/train/pose_train_predicted.py --feature_path /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/saved_models/stage3_predicted_keypoints.pt --epochs 50 --batch_size 64 --train_split 0.7 --val_split 0.15 --test_split 0.15 --seed 42 --early_stop_patience 12 --lr 0.0003 --weight_decay 0.001 --hidden_dim 256 --dropout 0.4 --visibility_threshold 0.15 --label_smoothing 0.1 --xy_noise_std 0.003 --joint_dropout 0.03 --grad_clip_norm 1.0,ok,0,0.77,4.3139,0.7333,/Users/hanyiliu/Documents/GitHub/tennis-pose-detection/training_outputs/pose_grid_search_logs_20260310_024913/trial_024.log,52953
25,0.0003,0.001,384,0.15,0.1,0.03,0.003,0.0,2.0,/Users/hanyiliu/anaconda3/bin/python /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/train/pose_train_predicted.py --feature_path /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/saved_models/stage3_predicted_keypoints.pt --epochs 50 --batch_size 64 --train_split 0.7 --val_split 0.15 --test_split 0.15 --seed 42 --early_stop_patience 12 --lr 0.0003 --weight_decay 0.001 --hidden_dim 384 --dropout 0.15 --visibility_threshold 0.1 --label_smoothing 0.03 --xy_noise_std 0.003 --joint_dropout 0.0 --grad_clip_norm 2.0,ok,0,0.8366666666666667,0.9729,0.76,/Users/hanyiliu/Documents/GitHub/tennis-pose-detection/training_outputs/pose_grid_search_logs_20260310_024913/trial_025.log,53587
26,0.0003,0.001,384,0.15,0.1,0.1,0.005,0.03,0.5,/Users/hanyiliu/anaconda3/bin/python /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/train/pose_train_predicted.py --feature_path /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/saved_models/stage3_predicted_keypoints.pt --epochs 50 --batch_size 64 --train_split 0.7 --val_split 0.15 --test_split 0.15 --seed 42 --early_stop_patience 12 --lr 0.0003 --weight_decay 0.001 --hidden_dim 384 --dropout 0.15 --visibility_threshold 0.1 --label_smoothing 0.1 --xy_noise_std 0.005 --joint_dropout 0.03 --grad_clip_norm 0.5,ok,0,0.8133333333333334,14.9007,0.75,/Users/hanyiliu/Documents/GitHub/tennis-pose-detection/training_outputs/pose_grid_search_logs_20260310_024913/trial_026.log,53736
27,0.0003,0.001,384,0.3,0.1,0.1,0.005,0.05,1.0,/Users/hanyiliu/anaconda3/bin/python /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/train/pose_train_predicted.py --feature_path /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/saved_models/stage3_predicted_keypoints.pt --epochs 50 --batch_size 64 --train_split 0.7 --val_split 0.15 --test_split 0.15 --seed 42 --early_stop_patience 12 --lr 0.0003 --weight_decay 0.001 --hidden_dim 384 --dropout 0.3 --visibility_threshold 0.1 --label_smoothing 0.1 --xy_noise_std 0.005 --joint_dropout 0.05 --grad_clip_norm 1.0,ok,0,0.8066666666666666,0.6847,0.7467,/Users/hanyiliu/Documents/GitHub/tennis-pose-detection/training_outputs/pose_grid_search_logs_20260310_024913/trial_027.log,55789
28,0.0003,0.001,512,0.15,0.0,0.05,0.001,0.05,2.0,/Users/hanyiliu/anaconda3/bin/python /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/train/pose_train_predicted.py --feature_path /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/saved_models/stage3_predicted_keypoints.pt --epochs 50 --batch_size 64 --train_split 0.7 --val_split 0.15 --test_split 0.15 --seed 42 --early_stop_patience 12 --lr 0.0003 --weight_decay 0.001 --hidden_dim 512 --dropout 0.15 --visibility_threshold 0.0 --label_smoothing 0.05 --xy_noise_std 0.001 --joint_dropout 0.05 --grad_clip_norm 2.0,ok,0,0.8066666666666666,245.1078,0.7433,/Users/hanyiliu/Documents/GitHub/tennis-pose-detection/training_outputs/pose_grid_search_logs_20260310_024913/trial_028.log,57487
29,0.0003,0.001,512,0.2,0.0,0.0,0.001,0.0,1.0,/Users/hanyiliu/anaconda3/bin/python /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/train/pose_train_predicted.py --feature_path /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/saved_models/stage3_predicted_keypoints.pt --epochs 50 --batch_size 64 --train_split 0.7 --val_split 0.15 --test_split 0.15 --seed 42 --early_stop_patience 12 --lr 0.0003 --weight_decay 0.001 --hidden_dim 512 --dropout 0.2 --visibility_threshold 0.0 --label_smoothing 0.0 --xy_noise_std 0.001 --joint_dropout 0.0 --grad_clip_norm 1.0,ok,0,0.8333333333333334,12338.2456,0.7733,/Users/hanyiliu/Documents/GitHub/tennis-pose-detection/training_outputs/pose_grid_search_logs_20260310_024913/trial_029.log,58369
30,0.0003,0.001,512,0.2,0.0,0.03,0.01,0.02,1.0,/Users/hanyiliu/anaconda3/bin/python /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/train/pose_train_predicted.py --feature_path /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/saved_models/stage3_predicted_keypoints.pt --epochs 50 --batch_size 64 --train_split 0.7 --val_split 0.15 --test_split 0.15 --seed 42 --early_stop_patience 12 --lr 0.0003 --weight_decay 0.001 --hidden_dim 512 --dropout 0.2 --visibility_threshold 0.0 --label_smoothing 0.03 --xy_noise_std 0.01 --joint_dropout 0.02 --grad_clip_norm 1.0,ok,0,0.83,0.6039,0.7633,/Users/hanyiliu/Documents/GitHub/tennis-pose-detection/training_outputs/pose_grid_search_logs_20260310_024913/trial_030.log,58485
